['3731', 'Sen. McCaskill, Claire [D-MO]', 'MO', 'Finance and Financial Sector']
['3297', 'Sen. Reid, Harry [D-NV]', 'NV', 'Economics and Public Finance']
['3730', 'Sen. Kohl, Herb [D-WI]', 'WI', 'Health']
['3729', 'Sen. Dorgan, Byron L. [D-ND]', 'ND', 'Environmental Protection']
['3728', 'Sen. Sanders, Bernard [I-VT]', 'VT', 'Transportation and Public Works']
['3727', 'Sen. Brown, Sherrod [D-OH]', 'OH', 'Commemorations']
['3726', 'Sen. Leahy, Patrick J. [D-VT]', 'VT', 'Crime and Law Enforcement']
['841', 'Sen. Kerry, John F. [D-MA]', 'MA', 'Transportation and Public Works']
['4036', 'Sen. Dodd, Christopher J. [D-CT]', 'CT', 'Finance and Financial Sector']
['3903', 'Sen. Udall, Tom [D-NM]', 'NM', 'Native Americans']
['3874', 'Sen. Boxer, Barbara [D-CA]', 'CA', 'Environmental Protection']
['3592', 'Sen. Chambliss, Saxby [R-GA]', 'GA', 'Government Operations and Politics']
['3481', 'Sen. Cardin, Benjamin L. [D-MD]', 'MD', 'Environmental Protection']
['3447', 'Sen. Akaka, Daniel K. [D-HI]', 'HI', 'Armed Forces and National Security']
['3243', 'Sen. Pryor, Mark L. [D-AR]', 'AR', 'Crime and Law Enforcement']
['3036', 'Sen. Bayh, Evan [D-IN]', 'IN', 'Health']
['1481', 'Sen. Menendez, Robert [D-NJ]', 'NJ', 'Housing and Community Development']
['118', 'Sen. Kohl, Herb [D-WI]', 'WI', 'Housing and Community Development']
['4058', 'Sen. Kerry, John F. [D-MA]', 'MA', 'Armed Forces and National Security']
['3386', 'Sen. Rockefeller, John D., IV [D-WV]', 'WV', 'Commerce']
['4010', 'Sen. Feinstein, Dianne [D-CA]', 'CA', 'Private Legislation']
['4005', 'Sen. Whitehouse, Sheldon [D-RI]', 'RI', 'Law']
['3998', 'Sen. Schumer, Charles E. [D-NY]', 'NY', 'Crime and Law Enforcement']
['3984', 'Sen. Reed, Jack [D-RI]', 'RI', 'Arts, Culture, Religion']
['3860', 'Sen. McCaskill, Claire [D-MO]', 'MO', 'Armed Forces and National Security']
['3794', 'Sen. Leahy, Patrick J. [D-VT]', 'VT', 'Government Operations and Politics']
['3199', 'Sen. Snowe, Olympia J. [R-ME]', 'ME', 'Health']
['2318', 'Sen. Kerry, John F. [D-MA]', 'MA', 'International Affairs']
['3677', 'Sen. Johnson, Tim [D-SD]', 'SD', 'Finance and Financial Sector']
['3662', 'Sen. Brown, Scott P. [R-MA]', 'MA', 'Government Operations and Politics']
['3630', 'Sen. Johnson, Ron [R-WI]', 'WI', 'Government Operations and Politics']
['3472', 'Sen. Landrieu, Mary L. [D-LA]', 'LA', 'Education']
['3454', 'Sen. Feinstein, Dianne [D-CA]', 'CA', 'Armed Forces and National Security']
['3331', 'Sen. Kerry, John F. [D-MA]', 'MA', 'International Affairs']
['925', 'Sen. Boxer, Barbara [D-CA]', 'CA', 'Public Lands and Natural Resources']
['3666', 'Sen. Vitter, David [R-LA]', 'LA', 'Animals']
['3202', 'Sen. Murray, Patty [D-WA]', 'WA', 'Armed Forces and National Security']
['3716', 'Sen. Baucus, Max [D-MT]', 'MT', 'Taxation']
['692', 'Sen. Nelson, Bill [D-FL]', 'FL', 'Emergency Management']
['3250', 'Sen. Cornyn, John [R-TX]', 'TX', 'Crime and Law Enforcement']
['3313', 'Sen. Murray, Patty [D-WA]', 'WA', 'Armed Forces and National Security']
['2045', 'Sen. Burr, Richard [R-NC]', 'NC', 'Armed Forces and National Security']
['140', 'Sen. Levin, Carl [D-MI]', 'MI', 'Public Lands and Natural Resources']
['302', 'Sen. Murkowski, Lisa [R-AK]', 'AK', 'Public Lands and Natural Resources']
['3715', 'Sen. Harkin, Tom [D-IA]', 'IA', 'Health']
